Epoch 0 | Loss 1.0933901071548462 | Validation Loss 1.075441837310791 | Accuracy 0.3638095259666443 | Valid Accuracy 0.4266666769981384
Epoch 1 | Loss 1.0622329711914062 | Validation Loss 1.0528857707977295 | Accuracy 0.3990476131439209 | Valid Accuracy 0.4000000059604645
Epoch 2 | Loss 1.0275005102157593 | Validation Loss 1.0556999444961548 | Accuracy 0.45619046688079834 | Valid Accuracy 0.47111111879348755
Epoch 3 | Loss 1.0174719095230103 | Validation Loss 1.0362968444824219 | Accuracy 0.47809523344039917 | Valid Accuracy 0.43111109733581543
Epoch 4 | Loss 0.9921556115150452 | Validation Loss 1.02981436252594 | Accuracy 0.5171428322792053 | Valid Accuracy 0.4444444477558136
Epoch 5 | Loss 0.9784667491912842 | Validation Loss 1.0171129703521729 | Accuracy 0.5180952548980713 | Valid Accuracy 0.4888888895511627
Epoch 6 | Loss 0.9609169363975525 | Validation Loss 1.0087411403656006 | Accuracy 0.5142857432365417 | Valid Accuracy 0.46222221851348877
Epoch 7 | Loss 0.9342936277389526 | Validation Loss 1.0211243629455566 | Accuracy 0.523809552192688 | Valid Accuracy 0.4444444477558136
Epoch 8 | Loss 0.9269360899925232 | Validation Loss 1.0179625749588013 | Accuracy 0.5590476393699646 | Valid Accuracy 0.4533333480358124
Epoch 9 | Loss 0.9411426782608032 | Validation Loss 0.9977774024009705 | Accuracy 0.523809552192688 | Valid Accuracy 0.4399999976158142
Epoch 10 | Loss 0.9229379892349243 | Validation Loss 1.0160529613494873 | Accuracy 0.5276190638542175 | Valid Accuracy 0.448888897895813
Epoch 11 | Loss 0.9170955419540405 | Validation Loss 1.0282033681869507 | Accuracy 0.5571428537368774 | Valid Accuracy 0.47111111879348755
Epoch 12 | Loss 0.8925280570983887 | Validation Loss 1.005584716796875 | Accuracy 0.5504761934280396 | Valid Accuracy 0.47999998927116394
Epoch 13 | Loss 0.8938455581665039 | Validation Loss 0.9942788481712341 | Accuracy 0.5685714483261108 | Valid Accuracy 0.4977777898311615
Epoch 14 | Loss 0.8672232031822205 | Validation Loss 1.02687406539917 | Accuracy 0.5857142806053162 | Valid Accuracy 0.4577777683734894
Epoch 15 | Loss 0.870593249797821 | Validation Loss 1.0290848016738892 | Accuracy 0.5828571319580078 | Valid Accuracy 0.4577777683734894
Epoch 16 | Loss 0.8189069032669067 | Validation Loss 1.0697343349456787 | Accuracy 0.6085714101791382 | Valid Accuracy 0.47111111879348755
Epoch 17 | Loss 0.8473170399665833 | Validation Loss 1.0182809829711914 | Accuracy 0.5857142806053162 | Valid Accuracy 0.448888897895813
Epoch 18 | Loss 0.8091344237327576 | Validation Loss 1.00055730342865 | Accuracy 0.6152380704879761 | Valid Accuracy 0.5066666603088379
Epoch 19 | Loss 0.7922854423522949 | Validation Loss 1.0459810495376587 | Accuracy 0.6419047713279724 | Valid Accuracy 0.47111111879348755
Epoch 20 | Loss 0.7914191484451294 | Validation Loss 1.0590109825134277 | Accuracy 0.6409524083137512 | Valid Accuracy 0.5066666603088379
Epoch 21 | Loss 0.7708669900894165 | Validation Loss 1.130176067352295 | Accuracy 0.6638095378875732 | Valid Accuracy 0.46222221851348877
Epoch 22 | Loss 0.7772068977355957 | Validation Loss 1.0204999446868896 | Accuracy 0.645714282989502 | Valid Accuracy 0.5155555605888367
Epoch 23 | Loss 0.7185108661651611 | Validation Loss 1.057225227355957 | Accuracy 0.6742857098579407 | Valid Accuracy 0.4977777898311615
Epoch 24 | Loss 0.75970059633255 | Validation Loss 0.994195282459259 | Accuracy 0.6571428775787354 | Valid Accuracy 0.5111111402511597




no l2 reg
no step decay
