Epoch 0 | Loss 1.092569351196289 | Validation Loss 1.0768483877182007 | Accuracy 0.3752380907535553 | Valid Accuracy 0.4444444477558136
Epoch 1 | Loss 1.0663481950759888 | Validation Loss 1.0636242628097534 | Accuracy 0.41428571939468384 | Valid Accuracy 0.40444445610046387
Epoch 2 | Loss 1.0337255001068115 | Validation Loss 1.0639525651931763 | Accuracy 0.46190476417541504 | Valid Accuracy 0.4355555474758148
Epoch 3 | Loss 1.0268311500549316 | Validation Loss 1.0332354307174683 | Accuracy 0.46190476417541504 | Valid Accuracy 0.43111109733581543
Epoch 4 | Loss 1.003371238708496 | Validation Loss 1.0333633422851562 | Accuracy 0.48571428656578064 | Valid Accuracy 0.4399999976158142
Epoch 5 | Loss 1.0011991262435913 | Validation Loss 1.039497971534729 | Accuracy 0.4819047749042511 | Valid Accuracy 0.47111111879348755
Epoch 6 | Loss 0.9887353181838989 | Validation Loss 1.0242363214492798 | Accuracy 0.46857142448425293 | Valid Accuracy 0.5066666603088379
Epoch 7 | Loss 0.9846285581588745 | Validation Loss 1.0372642278671265 | Accuracy 0.4895237982273102 | Valid Accuracy 0.46222221851348877
Epoch 8 | Loss 0.974466860294342 | Validation Loss 1.0106111764907837 | Accuracy 0.5057142972946167 | Valid Accuracy 0.46666666865348816
Epoch 9 | Loss 0.9616539478302002 | Validation Loss 1.0123894214630127 | Accuracy 0.5104761719703674 | Valid Accuracy 0.4355555474758148
Epoch 10 | Loss 0.9512317180633545 | Validation Loss 1.0279572010040283 | Accuracy 0.5095238089561462 | Valid Accuracy 0.4399999976158142
Epoch 11 | Loss 0.9495285153388977 | Validation Loss 1.0143295526504517 | Accuracy 0.4990476071834564 | Valid Accuracy 0.48444443941116333
Epoch 12 | Loss 0.9237967729568481 | Validation Loss 0.9923743009567261 | Accuracy 0.5323809385299683 | Valid Accuracy 0.47555556893348694
Epoch 13 | Loss 0.9432054162025452 | Validation Loss 0.9910405278205872 | Accuracy 0.5276190638542175 | Valid Accuracy 0.4933333396911621
Epoch 14 | Loss 0.9523629546165466 | Validation Loss 0.9986753463745117 | Accuracy 0.5199999809265137 | Valid Accuracy 0.4888888895511627
Epoch 15 | Loss 0.9306617379188538 | Validation Loss 1.041670322418213 | Accuracy 0.5685714483261108 | Valid Accuracy 0.46222221851348877
Epoch 16 | Loss 0.9067797064781189 | Validation Loss 1.056562066078186 | Accuracy 0.5400000214576721 | Valid Accuracy 0.42222222685813904
Epoch 17 | Loss 0.9071347713470459 | Validation Loss 1.0146335363388062 | Accuracy 0.5761904716491699 | Valid Accuracy 0.47999998927116394
Epoch 18 | Loss 0.8960657119750977 | Validation Loss 1.055401086807251 | Accuracy 0.5590476393699646 | Valid Accuracy 0.4977777898311615
Stopping early at Epoch 18
