Epoch 0 | Loss 1.1035423278808594 | Validation Loss 1.092322826385498 | Accuracy 0.3628571331501007 | Valid Accuracy 0.3466666638851166
Epoch 1 | Loss 1.0956592559814453 | Validation Loss 1.085811972618103 | Accuracy 0.36000001430511475 | Valid Accuracy 0.3866666555404663
Epoch 2 | Loss 1.0852471590042114 | Validation Loss 1.0734941959381104 | Accuracy 0.38285714387893677 | Valid Accuracy 0.4266666769981384
Epoch 3 | Loss 1.0809351205825806 | Validation Loss 1.0665186643600464 | Accuracy 0.3980952501296997 | Valid Accuracy 0.40444445610046387
Epoch 4 | Loss 1.062215805053711 | Validation Loss 1.1017805337905884 | Accuracy 0.4219047725200653 | Valid Accuracy 0.35111111402511597
Epoch 5 | Loss 1.0683989524841309 | Validation Loss 1.0603688955307007 | Accuracy 0.41238096356391907 | Valid Accuracy 0.3911111056804657
Epoch 6 | Loss 1.068872094154358 | Validation Loss 1.0457040071487427 | Accuracy 0.4057142734527588 | Valid Accuracy 0.41333332657814026
Epoch 7 | Loss 1.057320475578308 | Validation Loss 1.0390362739562988 | Accuracy 0.4457142949104309 | Valid Accuracy 0.4444444477558136
Epoch 8 | Loss 1.0545405149459839 | Validation Loss 1.05050528049469 | Accuracy 0.43714284896850586 | Valid Accuracy 0.4533333480358124
Epoch 9 | Loss 1.0426818132400513 | Validation Loss 1.0547608137130737 | Accuracy 0.4571428596973419 | Valid Accuracy 0.448888897895813
Epoch 10 | Loss 1.0422948598861694 | Validation Loss 1.0493688583374023 | Accuracy 0.43904760479927063 | Valid Accuracy 0.4266666769981384
Epoch 11 | Loss 1.026245355606079 | Validation Loss 1.036649465560913 | Accuracy 0.4514285624027252 | Valid Accuracy 0.4533333480358124
Epoch 12 | Loss 1.0256377458572388 | Validation Loss 1.0435643196105957 | Accuracy 0.46666666865348816 | Valid Accuracy 0.4000000059604645
Epoch 13 | Loss 1.0325522422790527 | Validation Loss 1.0631023645401 | Accuracy 0.44380950927734375 | Valid Accuracy 0.4355555474758148
Epoch 14 | Loss 1.0255199670791626 | Validation Loss 1.0408848524093628 | Accuracy 0.46761906147003174 | Valid Accuracy 0.46222221851348877
Epoch 15 | Loss 1.019502878189087 | Validation Loss 1.0802668333053589 | Accuracy 0.4628571569919586 | Valid Accuracy 0.3911111056804657
Epoch 16 | Loss 1.0462435483932495 | Validation Loss 1.021855354309082 | Accuracy 0.4295237958431244 | Valid Accuracy 0.47111111879348755
Epoch 17 | Loss 1.0292402505874634 | Validation Loss 1.0208803415298462 | Accuracy 0.45523810386657715 | Valid Accuracy 0.448888897895813
Epoch 18 | Loss 1.0111373662948608 | Validation Loss 1.0238914489746094 | Accuracy 0.47238096594810486 | Valid Accuracy 0.47999998927116394
Epoch 19 | Loss 1.0253987312316895 | Validation Loss 1.0297757387161255 | Accuracy 0.4647619128227234 | Valid Accuracy 0.46222221851348877
Epoch 20 | Loss 0.9919992089271545 | Validation Loss 1.019694447517395 | Accuracy 0.4942857027053833 | Valid Accuracy 0.42222222685813904
Epoch 21 | Loss 0.9916850328445435 | Validation Loss 1.035840392112732 | Accuracy 0.47428572177886963 | Valid Accuracy 0.4577777683734894
Epoch 22 | Loss 0.988760769367218 | Validation Loss 1.083159327507019 | Accuracy 0.5009523630142212 | Valid Accuracy 0.43111109733581543
Epoch 23 | Loss 0.9880293011665344 | Validation Loss 1.0785380601882935 | Accuracy 0.5057142972946167 | Valid Accuracy 0.448888897895813
Epoch 24 | Loss 0.9977421760559082 | Validation Loss 1.0357362031936646 | Accuracy 0.48571428656578064 | Valid Accuracy 0.4266666769981384



0.5 dropout 
augementation applied
