Epoch 0 | Loss 1.1197593212127686 | Validation Loss 1.095885157585144 | Accuracy 0.3495238125324249 | Valid Accuracy 0.3422222137451172
Epoch 1 | Loss 1.1041306257247925 | Validation Loss 1.091247320175171 | Accuracy 0.3495238125324249 | Valid Accuracy 0.40444445610046387
Epoch 2 | Loss 1.1039905548095703 | Validation Loss 1.0908643007278442 | Accuracy 0.34190475940704346 | Valid Accuracy 0.3911111056804657
Epoch 3 | Loss 1.0970202684402466 | Validation Loss 1.0864989757537842 | Accuracy 0.3504762053489685 | Valid Accuracy 0.4444444477558136
Epoch 4 | Loss 1.1027717590332031 | Validation Loss 1.082507610321045 | Accuracy 0.3523809611797333 | Valid Accuracy 0.4533333480358124
Epoch 5 | Loss 1.0926964282989502 | Validation Loss 1.0747805833816528 | Accuracy 0.3561904728412628 | Valid Accuracy 0.43111109733581543
Epoch 6 | Loss 1.0847004652023315 | Validation Loss 1.0708872079849243 | Accuracy 0.369523823261261 | Valid Accuracy 0.4399999976158142
Epoch 7 | Loss 1.0863289833068848 | Validation Loss 1.0643646717071533 | Accuracy 0.39619046449661255 | Valid Accuracy 0.41333332657814026
Epoch 8 | Loss 1.0767107009887695 | Validation Loss 1.0631667375564575 | Accuracy 0.38380953669548035 | Valid Accuracy 0.448888897895813
Epoch 9 | Loss 1.0873816013336182 | Validation Loss 1.0571049451828003 | Accuracy 0.37142857909202576 | Valid Accuracy 0.4444444477558136
Epoch 10 | Loss 1.080749273300171 | Validation Loss 1.0479708909988403 | Accuracy 0.38380953669548035 | Valid Accuracy 0.448888897895813
Epoch 11 | Loss 1.070346713066101 | Validation Loss 1.043537974357605 | Accuracy 0.4047619104385376 | Valid Accuracy 0.46666666865348816
Epoch 12 | Loss 1.0528557300567627 | Validation Loss 1.030560851097107 | Accuracy 0.4333333373069763 | Valid Accuracy 0.4533333480358124
Epoch 13 | Loss 1.0503182411193848 | Validation Loss 1.0566946268081665 | Accuracy 0.45428571105003357 | Valid Accuracy 0.4355555474758148
Epoch 14 | Loss 1.0645666122436523 | Validation Loss 1.0336557626724243 | Accuracy 0.4228571355342865 | Valid Accuracy 0.40444445610046387
Epoch 15 | Loss 1.0302672386169434 | Validation Loss 1.024380087852478 | Accuracy 0.45619046688079834 | Valid Accuracy 0.4888888895511627
Epoch 16 | Loss 1.0216686725616455 | Validation Loss 1.0387613773345947 | Accuracy 0.47333332896232605 | Valid Accuracy 0.3955555558204651
Epoch 17 | Loss 1.0309211015701294 | Validation Loss 1.034600853919983 | Accuracy 0.4704761803150177 | Valid Accuracy 0.4266666769981384
Epoch 18 | Loss 1.0111982822418213 | Validation Loss 1.037636637687683 | Accuracy 0.47428572177886963 | Valid Accuracy 0.46222221851348877
Epoch 19 | Loss 1.0192095041275024 | Validation Loss 1.0400681495666504 | Accuracy 0.4647619128227234 | Valid Accuracy 0.4577777683734894
Epoch 20 | Loss 1.0183343887329102 | Validation Loss 1.0321240425109863 | Accuracy 0.47904762625694275 | Valid Accuracy 0.4399999976158142


Dropout=0.9
