Epoch 0 | Loss 1.075161099433899 | Validation Loss 1.0559577941894531 | Accuracy 0.403809517621994 | Valid Accuracy 0.4888888895511627
Epoch 1 | Loss 1.0096209049224854 | Validation Loss 1.0318816900253296 | Accuracy 0.49714285135269165 | Valid Accuracy 0.4933333396911621
Epoch 2 | Loss 0.971652626991272 | Validation Loss 1.0240552425384521 | Accuracy 0.5171428322792053 | Valid Accuracy 0.4444444477558136
Epoch 3 | Loss 0.9448490142822266 | Validation Loss 1.026882290840149 | Accuracy 0.5514285564422607 | Valid Accuracy 0.46222221851348877
Epoch 4 | Loss 0.927453339099884 | Validation Loss 1.0257606506347656 | Accuracy 0.545714259147644 | Valid Accuracy 0.47555556893348694
Epoch 5 | Loss 0.8974359631538391 | Validation Loss 1.0106779336929321 | Accuracy 0.6038095355033875 | Valid Accuracy 0.46666666865348816
Epoch 6 | Loss 0.8771514892578125 | Validation Loss 1.0134477615356445 | Accuracy 0.5904762148857117 | Valid Accuracy 0.5155555605888367
Epoch 7 | Loss 0.8508127331733704 | Validation Loss 1.0606889724731445 | Accuracy 0.6247618794441223 | Valid Accuracy 0.4399999976158142
Epoch 8 | Loss 0.8273622989654541 | Validation Loss 1.00025475025177 | Accuracy 0.6285714507102966 | Valid Accuracy 0.4933333396911621
Epoch 9 | Loss 0.8018426299095154 | Validation Loss 1.0111305713653564 | Accuracy 0.6352381110191345 | Valid Accuracy 0.47111111879348755
Epoch 10 | Loss 0.7987469434738159 | Validation Loss 1.0084186792373657 | Accuracy 0.6342856884002686 | Valid Accuracy 0.5022222399711609
Epoch 11 | Loss 0.7485009431838989 | Validation Loss 1.0741562843322754 | Accuracy 0.6790476441383362 | Valid Accuracy 0.4444444477558136
Epoch 12 | Loss 0.7457278370857239 | Validation Loss 1.0514698028564453 | Accuracy 0.6847618818283081 | Valid Accuracy 0.47555556893348694
Epoch 13 | Loss 0.730391263961792 | Validation Loss 1.0575956106185913 | Accuracy 0.6828571557998657 | Valid Accuracy 0.4533333480358124
Stopping early at Epoch 13
